카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
여성 가방,1,21N-010A,STAND OIL,Oblong bag · 오블롱백,"
                                                                                                                                                119000",119000,37852,https://www.musinsa.com/app/goods/2344538?loc=goods_rank
여성 가방,2,CR23S501GY,SCULPTOR,Vintage Canvas Duffel Bag Pale Gray,72000,50400,45562,https://www.musinsa.com/app/goods/3034751?loc=goods_rank
여성 가방,3,S1001,SQUARELINE,Layer shoulder/cross bag - S1001 (7color),84000,58800,19781,https://www.musinsa.com/app/goods/3045081?loc=goods_rank
여성 가방,4,H73305020,CARLYN,트위 4colors_H73305020,130000,117000,162,https://www.musinsa.com/app/goods/3386060?loc=goods_rank
여성 가방,5,21A-006C,STAND OIL,Butter bag · 버터백,"
                                                                                                                                                89000",89000,18512,https://www.musinsa.com/app/goods/2343664?loc=goods_rank
여성 가방,6,MK2279BG030M0SV,MATIN KIM,ACCORDION MINI BAG IN SILVER,"
                                                                                                                                                138000",138000,13139,https://www.musinsa.com/app/goods/3024801?loc=goods_rank
여성 가방,7,S221AC01BK,SALAD BOWLS,SYMBOL NYLON BACKPACK [BLACK],98000,88200,14394,https://www.musinsa.com/app/goods/2392115?loc=goods_rank
여성 가방,8,breeze,FFROI,브리즈,"
                                                                                                                                                100000",100000,27373,https://www.musinsa.com/app/goods/2630526?loc=goods_rank
여성 가방,9,D1094,DONKIE,Enoch 에녹 - 8color,118000,76700,286,https://www.musinsa.com/app/goods/3498818?loc=goods_rank
여성 가방,10,AAHO3F351D3,ATHE VANESSABRUNO,버건디 보딸라또 명함 카드지갑 AAHO3F351D3,138000,131100,2899,https://www.musinsa.com/app/goods/3325944?loc=goods_rank
여성 가방,11,5000904411,D.LAB,비건가죽 램번트 숄더백-2color,58000,36800,8985,https://www.musinsa.com/app/goods/2966165?loc=goods_rank
여성 가방,12,NOI991,NOIAGO,NOI991 드로우 스트링 백 (네이비),62000,49600,1772,https://www.musinsa.com/app/goods/3376261?loc=goods_rank
여성 가방,13,CR23A504PK,SCULPTOR,Faux Mongolian Shoulder Bag Fuchsia,98000,88200,80,https://www.musinsa.com/app/goods/3537102?loc=goods_rank
여성 가방,14,23ss001,DOUBLE QUOTES,버터 카드 홀더 2번째,"
                                                                                                                                                39000",39000,3730,https://www.musinsa.com/app/goods/3138218?loc=goods_rank
여성 가방,15,kulpb05,KUL,Pocket bag (Black),"
                                                                                                                                                78000",78000,424,https://www.musinsa.com/app/goods/3360863?loc=goods_rank
여성 가방,16,LILIA-BASIL,MARTINCOKS,Lilia Shoulder (릴리아 숄더백) Basil,115000,75000,265,https://www.musinsa.com/app/goods/3348035?loc=goods_rank
여성 가방,17,RR233AC002BEIGE,REST&RECREATION,RR WASHED COTTON MINI BAG_BEIGE,78000,74100,17,https://www.musinsa.com/app/goods/3535635?loc=goods_rank
여성 가방,18,FM1PK01BKF,FENNEC,CRINKLE TRIANGLE ACCORDION POCKET - BLACK,"
                                                                                                                                                65000",65000,17032,https://www.musinsa.com/app/goods/2975285?loc=goods_rank
여성 가방,19,Salt Bag,DUMARO,솔트백,98000,98000,1362,https://www.musinsa.com/app/goods/3446244?loc=goods_rank
여성 가방,20,5000024445,KANGOL,코드 Ⅴ 포켓 버켓백 3884 브라운,75000,52500,130,https://www.musinsa.com/app/goods/2707130?loc=goods_rank
여성 가방,21,043,NAKED SURF CLUB,리사이클 워터프루프 백 (Magenta),"
                                                                                                                                                45000",45000,1858,https://www.musinsa.com/app/goods/3329523?loc=goods_rank
여성 가방,22,H73302010,CARLYN,[23FW] 코지 글로우 4colors_H73302010,100000,90000,68,https://www.musinsa.com/app/goods/3539475?loc=goods_rank
여성 가방,23,D1035,DONKIE,anemone 아네모네 - 7color,64000,41600,90,https://www.musinsa.com/app/goods/3272330?loc=goods_rank
여성 가방,24,FK1CW01TYF,FENNEC,SOFT CARD CASE - TINT YELLOW,"
                                                                                                                                                38000",38000,4007,https://www.musinsa.com/app/goods/1863992?loc=goods_rank
여성 가방,25,CR22A512GR,SCULPTOR,Oldschool Slouchy Backpack Sage,84000,58800,25084,https://www.musinsa.com/app/goods/3034745?loc=goods_rank
여성 가방,26,H73116010,CARLYN,[23FW] 포잉 코튼 캔디_H73116010,"
                                                                                                                                                100000",100000,133,https://www.musinsa.com/app/goods/3512050?loc=goods_rank
여성 가방,27,21N-017A,STAND OIL,Oblong bag Mini · 오블롱백 미니,"
                                                                                                                                                96000",96000,51839,https://www.musinsa.com/app/goods/2344540?loc=goods_rank
여성 가방,28,23sbn,MUR,보네백 (6color),102000,61200,16093,https://www.musinsa.com/app/goods/2997152?loc=goods_rank
여성 가방,29,23S-039B,STAND OIL,Chubby Bag Combi · 츄비백 콤비,119000,113050,247,https://www.musinsa.com/app/goods/3474455?loc=goods_rank
여성 가방,30,448065DTD1T1000SS23,GUCCI,여성 미니 GG 마틀라세 숄더백 - 블랙,1780000,1699000,107,https://www.musinsa.com/app/goods/3193641?loc=goods_rank
여성 가방,31,8800660102241,LENEE B,엘라백 블랙,39000,33000,6702,https://www.musinsa.com/app/goods/3323403?loc=goods_rank
여성 가방,32,23sst,MUR,솔트백  (8color),102000,61200,6909,https://www.musinsa.com/app/goods/2997154?loc=goods_rank
여성 가방,33,m1037_893276,VUNQUE,Occam Doux Shoulder L (오캄 두 숄더 라지)_4colors,"
                                                                                                                                                365000",365000,2515,https://www.musinsa.com/app/goods/3029931?loc=goods_rank
여성 가방,34,D1069,DONKIE,Sisi 시시 - 12color,84000,50400,8887,https://www.musinsa.com/app/goods/2865905?loc=goods_rank
여성 가방,35,IG23FWBAG01PK,ILLIGO,시그니처 백 핑크,108000,72000,2044,https://www.musinsa.com/app/goods/3394336?loc=goods_rank
여성 가방,36,609407VCPP58648FW22,BOTTEGA VENETA,여성 미니 인트레치아토 크로스백 - 블랙,1670000,1046000,468,https://www.musinsa.com/app/goods/2973748?loc=goods_rank
여성 가방,37,880066023457,LENEE B,스트링백팩 아이보리,49000,39000,14571,https://www.musinsa.com/app/goods/3323413?loc=goods_rank
여성 가방,38,CR22A512BK,SCULPTOR,Oldschool Slouchy Backpack Black,84000,58800,20802,https://www.musinsa.com/app/goods/3034743?loc=goods_rank
여성 가방,39,COPBA04405BLACKSS22,COPERNI,여성 바게트 스와이프 토트백 - 블랙,830000,227000,96,https://www.musinsa.com/app/goods/2431593?loc=goods_rank
여성 가방,40,H73117010,CARLYN,[23FW] 포잉 홀로그램_H73117010,"
                                                                                                                                                100000",100000,177,https://www.musinsa.com/app/goods/3512063?loc=goods_rank
여성 가방,41,3903462HH3N9260SS23,BALENCIAGA,여성 XS 네이비 카바스 토트백 - 라이트 베이지:블랙,1385000,897000,185,https://www.musinsa.com/app/goods/3192372?loc=goods_rank
여성 가방,42,CR23S501BK,SCULPTOR,Vintage Canvas Duffel Bag Black,72000,50400,27394,https://www.musinsa.com/app/goods/3034749?loc=goods_rank
여성 가방,43,23M-063A,STAND OIL,Plump bag ·  플럼백,89000,84550,7099,https://www.musinsa.com/app/goods/3061872?loc=goods_rank
여성 가방,44,22smgs01sv,MCNCHIPS,Metal velcro gym sack (silver),"
                                                                                                                                                47000",47000,15598,https://www.musinsa.com/app/goods/2635646?loc=goods_rank
여성 가방,45,H72303010,CARLYN,코지 12colors_H72303010,90000,81000,8301,https://www.musinsa.com/app/goods/2664933?loc=goods_rank
여성 가방,46,P0000DHO,MATIN KIM,BIG COATING TOTE BAG IN BLACK,"
                                                                                                                                                178000",178000,13961,https://www.musinsa.com/app/goods/2112607?loc=goods_rank
여성 가방,47,NOI942,NOIAGO,NOI942 에센셜 유틸리티 크로스백 (페일핑크),96000,67000,5367,https://www.musinsa.com/app/goods/3304102?loc=goods_rank
여성 가방,48,JHNCHC2BS211BK270,JESTINA,JOELLE MAY EW 쇼퍼 BK (JHNCHC2BS211BK270),188000,150400,2460,https://www.musinsa.com/app/goods/2413073?loc=goods_rank
여성 가방,49,DH3442 265,CALVIN KLEIN JEANS,여 베이지 CKJ 크레센트 텍스트 버클 숄더백 DH3442 265,159000,141700,389,https://www.musinsa.com/app/goods/3332173?loc=goods_rank
여성 가방,50,AABA3F369D3,ATHE VANESSABRUNO,[MERINGUE PLAIN] 버건디 보딸라또 숄더백 M AABA3F369D3,568000,539600,91,https://www.musinsa.com/app/goods/3327092?loc=goods_rank
여성 가방,51,213BA0023000990SS23,JACQUEMUS,여성 르 치키토 모옌 토트백 - 블랙,1080000,529000,385,https://www.musinsa.com/app/goods/3181547?loc=goods_rank
여성 가방,52,MTK223WL002W0SV,MATIN KIM,ACCORDION NECKLACE WALLET IN SILVER,"
                                                                                                                                                128000",128000,9618,https://www.musinsa.com/app/goods/2377589?loc=goods_rank
여성 가방,53,Cashew Nut Bag,DUMARO,캐슈넛백,82500,82500,324,https://www.musinsa.com/app/goods/3337412?loc=goods_rank
여성 가방,54,H73105010,CARLYN,위켄더 3colors_H73105010,"
                                                                                                                                                120000",120000,2296,https://www.musinsa.com/app/goods/3270689?loc=goods_rank
여성 가방,55,22G-039A,STAND OIL,Chubby bag · 츄비백,"
                                                                                                                                                119000",119000,25521,https://www.musinsa.com/app/goods/2558648?loc=goods_rank
여성 가방,56,J07WG0027P5368280FW23,JIL SANDER,여성 덤플링 버킷 숄더백 - 화이트,980000,449000,34,https://www.musinsa.com/app/goods/3437322?loc=goods_rank
