카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
가방,1,056-4,MMOGARDEN,mmo backpack nylon metalrip,"
                                                                                                                                                87000",87000,600,https://www.musinsa.com/app/goods/3009173?loc=goods_rank
가방,2,056-2,MMOGARDEN,mmo backpack nylon metalrip,"
                                                                                                                                                87000",87000,984,https://www.musinsa.com/app/goods/3009113?loc=goods_rank
가방,3,056-3,MMOGARDEN,mmo backpack nylon metalrip,"
                                                                                                                                                87000",87000,627,https://www.musinsa.com/app/goods/3009143?loc=goods_rank
가방,4,P0000DYT,L.E.E.Y,RIVET SPRAY CYLINDER MINI BAG WHITE,178000,160200,48,https://www.musinsa.com/app/goods/3567593?loc=goods_rank
가방,5,678401DV7071000FW22,SAINT LAURENT,여성 루루 토이 모노그램 숄더백 - 블랙,2430000,1687000,1032,https://www.musinsa.com/app/goods/2849886?loc=goods_rank
가방,6,MTK21BBG016W0BB,MATIN KIM,SPORTY TOTE BAG IN BLACK,"
                                                                                                                                                145000",145000,30949,https://www.musinsa.com/app/goods/2235274?loc=goods_rank
가방,7,S#ak11,HAHARCHIVE,아크 블랙 메신저백,"
                                                                                                                                                79000",79000,117868,https://www.musinsa.com/app/goods/1789507?loc=goods_rank
가방,8,NM2DP51A,THE NORTH FACE,NM2DP51A 빅샷,150000,135000,61366,https://www.musinsa.com/app/goods/1034480?loc=goods_rank
가방,9,P0000DFG,MATIN KIM,ACCORDION WALLET IN BLACK,"
                                                                                                                                                88000",88000,55633,https://www.musinsa.com/app/goods/1969507?loc=goods_rank
가방,10,JS0A4QUT008,JANSPORT,슈퍼브레이크 BLACK,54000,51200,34534,https://www.musinsa.com/app/goods/1528287?loc=goods_rank
가방,11,NG2CFUAB88ABK,NICEGHOSTCLUB,NGC 슬링 백_블랙(NG2CFUAB88A),159000,127200,27392,https://www.musinsa.com/app/goods/2702033?loc=goods_rank
가방,12,Cushiony Hobo Bag,DUMARO,쿠셔니 호보 백,94000,94000,428,https://www.musinsa.com/app/goods/2402762?loc=goods_rank
가방,13,A043CD2B,AGED GRAY,코듀라더블버클2웨이백팩,98000,98000,5270,https://www.musinsa.com/app/goods/1241170?loc=goods_rank
가방,14,1176680,BRIGHTON,본드 20/24/28형 여행용캐리어 여행가방 화물용 케리어,230000,74900,15436,https://www.musinsa.com/app/goods/1447194?loc=goods_rank
가방,15,21N-017A,STAND OIL,Oblong bag Mini · 오블롱백 미니,"
                                                                                                                                                96000",96000,51846,https://www.musinsa.com/app/goods/2344540?loc=goods_rank
가방,16,PXAWVF61179CADFW23,A.P.C.,여성 베티 크로스백 - 브라운,819000,239000,199,https://www.musinsa.com/app/goods/3459616?loc=goods_rank
가방,17,20N-006B,STAND OIL,Butter bag  Classic · 버터백 클래식,"
                                                                                                                                                89000",89000,37455,https://www.musinsa.com/app/goods/2343665?loc=goods_rank
가방,18,CR22A512BK,SCULPTOR,Oldschool Slouchy Backpack Black,84000,58800,20832,https://www.musinsa.com/app/goods/3034743?loc=goods_rank
가방,19,NM2DN57A,THE NORTH FACE,NM2DN57A 빅샷 에어,149000,134100,1827,https://www.musinsa.com/app/goods/2229494?loc=goods_rank
가방,20,JS0A4QUE1008,JANSPORT,슈퍼브레이크 플러스 랩탑 BLACK,59000,55900,18402,https://www.musinsa.com/app/goods/1534526?loc=goods_rank
가방,21,SA1VX0011P4455T8013FW23,MAISON MARGIELA,공용 4 스티치 카드 홀더 - 블랙,"
                                                                                                                                                396000",396000,1322,https://www.musinsa.com/app/goods/3368161?loc=goods_rank
가방,22,Salt Bag,DUMARO,솔트백,98000,98000,1474,https://www.musinsa.com/app/goods/3446244?loc=goods_rank
가방,23,MMLGBC2A016,MMLG,[Mmlg] MMLG RUCKSACK (BEIGE),"
                                                                                                                                                92000",92000,13386,https://www.musinsa.com/app/goods/2279619?loc=goods_rank
가방,24,P0000DHO,MATIN KIM,BIG COATING TOTE BAG IN BLACK,"
                                                                                                                                                178000",178000,13967,https://www.musinsa.com/app/goods/2112607?loc=goods_rank
가방,25,22N-057A,STAND OIL,Post bag · 포스트백,91000,86450,12711,https://www.musinsa.com/app/goods/2930265?loc=goods_rank
가방,26,22G-039A,STAND OIL,Chubby bag · 츄비백,"
                                                                                                                                                119000",119000,25532,https://www.musinsa.com/app/goods/2558648?loc=goods_rank
가방,27,SMO_B01465,SAMO ONDOH,포켓 머그백 pocket mug bag L - nappa black,"
                                                                                                                                                165000",165000,1440,https://www.musinsa.com/app/goods/3328755?loc=goods_rank
가방,28,P0000BCQ,FILLINTHEBLANK,Trapezoid PK Shoulder Bag (marble)(stone),"
                                                                                                                                                159000",159000,3730,https://www.musinsa.com/app/goods/3256674?loc=goods_rank
가방,29,essentialMB(bk),PEEPS,에센셜 메신져백 블랙,52000,37700,67788,https://www.musinsa.com/app/goods/342189?loc=goods_rank
가방,30,MAPOBGS0G620101-410,POLO RALPH LAUREN,윔블던 쇼퍼 토트백 - 네이비,149000,104300,1116,https://www.musinsa.com/app/goods/2486325?loc=goods_rank
가방,31,OVBLX23001BLK,ARCHIVEPKE,Mini bowling bag(Deep sleep)_OVBLX23001BLK,99000,89100,30837,https://www.musinsa.com/app/goods/1910358?loc=goods_rank
가방,32,5000575073,MASMARULEZ,Daily backpack _ Black,69000,46000,31268,https://www.musinsa.com/app/goods/2245910?loc=goods_rank
가방,33,MK2213BG020M0BE,MATIN KIM,BABY SPORTY TOTE BAG IN BEIGE,"
                                                                                                                                                138000",138000,3936,https://www.musinsa.com/app/goods/2577897?loc=goods_rank
가방,34,MMQ7AH001A,MAISON MINED,TWO POCKET BACKPACK,98000,83300,29861,https://www.musinsa.com/app/goods/913402?loc=goods_rank
가방,35,H73105010,CARLYN,위켄더 3colors_H73105010,"
                                                                                                                                                120000",120000,2303,https://www.musinsa.com/app/goods/3270689?loc=goods_rank
가방,36,halfmoon cross bag_khaki beige,MASMARULEZ,halfmoon cross bag_khaki beige,51000,39000,16637,https://www.musinsa.com/app/goods/2320960?loc=goods_rank
가방,37,RCR7573BKZF,RAWROW,스트링 크로스백 750 ep.2 Black,"
                                                                                                                                                59000",59000,5563,https://www.musinsa.com/app/goods/1090154?loc=goods_rank
가방,38,BDW-9342,BEN DAVIS,오리지널 가제트 백팩 30L 블랙,"
                                                                                                                                                118000",118000,6802,https://www.musinsa.com/app/goods/1188993?loc=goods_rank
가방,39,JU05331LC0031P199SS23,MAISON KITSUNE,공용 트리컬러 폭스 카드 홀더 - 블랙,193500,115000,187,https://www.musinsa.com/app/goods/3289797?loc=goods_rank
가방,40,JHNCHD3BF241BK260,JESTINA,AVA LG 토트 BK (JHNCHD3BF241BK260),238000,214200,10,https://www.musinsa.com/app/goods/3533711?loc=goods_rank
